 ROA(C) before interest and depreciation before interest, ROA(A) before interest and % after tax, Pre-tax net Interest Rate, Non-industry income and expenditure/revenue, Net Value Per Share (B), Persistent EPS in the Last Four Seasons, Operating Profit Per Share (Yuan ¥), Interest Expense Ratio, Debt ratio %, Borrowing dependency, Working Capital to Total Assets, Current Liabilities/Equity, Retained Earnings to Total Assets, Total income/Total expense, Working capitcal Turnover Rate, Current Liability to Current Assets, Net Income to Stockholder's Equity, Degree of Financial Leverage (DFL), Interest Coverage Ratio (Interest expense to EBIT), Equity to Liability
-0.9048710391406088,-0.835695834762684,0.007361103185917704,-0.017110091070841205,-0.35888596732636907,-0.7063590256735511,-0.7478385989783358,-0.11183039822862523,0.0460003489645968,-0.10311307327166525,-0.5999827706082249,-0.21628671562512353,-0.36242111308630365,-0.03807677045671409,-0.006179603749107812,-0.053878736540101974,-0.09958051742510408,-0.059111521957036665,-0.01048772767130258,-0.31141770009625136
0.40440887945973575,0.21314708049598288,0.02332168671185258,-0.011639934922106314,0.27983575372956326,0.1949768052437466,0.256702481999199,-0.054038501871810585,0.047114287717181354,-0.23593256779473715,0.2576338984216937,-0.05879704364235535,0.7153919111348196,-0.009516599041774619,-0.002948553141523491,-0.18356669968274494,0.09467030148586997,-0.05796196869645198,-0.0052950451895087645,-0.31186329820578207
1.0810973409906366,0.9331366337036139,0.033639680162652785,-0.009132722868354275,0.3643358953352884,0.7302316256387767,0.6743206448770693,-0.04632030947489748,0.012582204809926485,-0.056785620204590125,0.4632794116297818,-0.17673994364547818,0.5854080086783603,0.004234297788906333,0.00014377503912590205,-0.4116118096676445,0.18695733764891234,-0.05657932505368147,0.0007879190898959481,-0.2997915921331915
-0.3620770992912121,-0.03349294104229319,0.019381925000817427,-0.01565965269508158,-0.3452168172318423,-0.043530525571324856,0.036606383380094046,0.12954973381172535,1.9497209217941236,1.608452111217148,0.07406045509060426,0.9986802522355508,-0.06081765085050758,-0.013192338034512384,8.156767278638849e-05,0.09370998804668465,0.09612001032095123,-0.03441373213959699,0.07906215242875245,-0.6592404347575354
0.0812981584293382,-0.32912879931488126,0.015553019390129557,-0.018850634267427262,0.11332074104599005,0.15892337083370978,0.22284151709330224,0.05646272290151042,0.2854970886559501,-0.15864935290211238,-0.07189071206119782,0.04162828315135431,-0.08389397363108438,-0.025175506650683417,-0.006240048573393385,-0.003918133405256197,-0.006053417248918481,-0.05086739808119866,0.024184106823087692,-0.3849406337126638
0.6681891027401947,0.8974278198076532,0.02825900765444915,0.010427320345096174,1.7834413499588606,1.687034296776826,-0.07061988997576289,-0.028530978127742572,0.6943124450486935,-0.034046905716422264,-0.20615207575019165,0.05859517097420247,0.8739190565607233,0.03343253353065828,-0.004181295784450895,0.011461224153398644,0.21468982545457432,-0.052526786027443415,0.017659084575288198,-0.4818907151264112
-0.6635401951651605,-0.38393768283435314,0.014615913879527407,-0.012406603779272296,-0.3377609171802831,-0.4123848839713565,-0.48259460490777684,2.4730403883124414,1.295282171782246,0.42150621386956644,-0.15635363566288854,0.4000451482836954,-0.1612772226839344,-0.025184589145287553,0.006763675606896334,0.1011288029546901,-0.02082275898954504,0.18639283181668045,0.3018378736187672,-0.5827821162029589
-0.4783328158988174,-0.3714811170132416,0.013779613127717463,-0.028195541507101483,-0.47196705912974013,-0.4151582025154915,-0.3048247124210433,0.4037319086941577,0.03653187877906176,-0.027884104378363205,-0.9762287172953485,-0.09994379919980514,-0.15804617703041893,-0.026055134804572572,-0.007528777846029804,0.4297380812833765,-0.020857591884604003,1.540831729936824,0.3980810525857323,-0.308095972441697
0.143033967964696,0.12013804249593674,0.03100979762950619,-0.013048880764388752,0.5668877287787581,0.06740312553654973,0.08739779608509428,-0.03187240409688687,-0.4931457862119428,-0.09595855604771034,-0.5574877912538434,-0.1922298961148483,0.13941556922120024,-0.004481309827325083,-0.003164620060604567,0.017743123808157048,0.06013439246676335,-0.05383002624136908,0.012382820424158274,-0.06885788930042508
0.2849461133647212,0.31446049063225384,0.024248668045093336,-0.012800268477039512,1.1260798787740287,0.2116168631766979,0.15229793261627003,-0.059874144634694246,-1.2762444160901742,-0.3134283520501438,2.2188611717851234,-0.2642324384021511,0.6412659274332225,-0.018018119285193975,0.009816813146756321,-0.7226985968139525,0.06873857076252134,-0.05884214312999391,-0.009259608081105423,0.8067335463606295
