 ROA(C) before interest and depreciation before interest, ROA(A) before interest and % after tax, ROA(B) before interest and depreciation after tax, Operating Gross Margin, Realized Sales Gross Margin, Operating Profit Rate, Pre-tax net Interest Rate, After-tax net Interest Rate, Non-industry income and expenditure/revenue, Continuous interest rate (after tax), Operating Expense Rate, Research and development expense rate, Cash flow rate, Interest-bearing debt interest rate, Tax rate (A), Net Value Per Share (B), Net Value Per Share (A), Net Value Per Share (C), Persistent EPS in the Last Four Seasons, Cash Flow Per Share, Revenue Per Share (Yuan ¥), Operating Profit Per Share (Yuan ¥), Per Share Net profit before tax (Yuan ¥), Realized Sales Gross Profit Growth Rate, Operating Profit Growth Rate, After-tax Net Profit Growth Rate, Regular Net Profit Growth Rate, Continuous Net Profit Growth Rate, Total Asset Growth Rate, Net Value Growth Rate, Total Asset Return Growth Rate Ratio, Cash Reinvestment %, Current Ratio, Quick Ratio, Interest Expense Ratio, Total debt/Total net worth, Debt ratio %, Net worth/Assets, Long-term fund suitability ratio (A), Borrowing dependency, Contingent liabilities/Net worth, Operating profit/Paid-in capital, Net profit before tax/Paid-in capital, Inventory and accounts receivable/Net value, Total Asset Turnover, Accounts Receivable Turnover, Average Collection Days, Inventory Turnover Rate (times), Fixed Assets Turnover Frequency, Net Worth Turnover Rate (times), Revenue per person, Operating profit per person, Allocation rate per person, Working Capital to Total Assets, Quick Assets/Total Assets, Current Assets/Total Assets, Cash/Total Assets, Quick Assets/Current Liability, Cash/Current Liability, Current Liability to Assets, Operating Funds to Liability, Inventory/Working Capital, Inventory/Current Liability, Current Liabilities/Liability, Working Capital/Equity, Current Liabilities/Equity, Long-term Liability to Current Assets, Retained Earnings to Total Assets, Total income/Total expense, Total expense/Assets, Current Asset Turnover Rate, Quick Asset Turnover Rate, Working capitcal Turnover Rate, Cash Turnover Rate, Cash Flow to Sales, Fixed Assets to Assets, Current Liability to Liability, Current Liability to Equity, Equity to Long-term Liability, Cash Flow to Total Assets, Cash Flow to Liability, CFO to Assets, Cash Flow to Equity, Current Liability to Current Assets, Liability-Assets Flag, Net Income to Total Assets, Total assets to GNP price, No-credit Interval, Gross Profit to Sales, Net Income to Stockholder's Equity, Liability to Equity, Degree of Financial Leverage (DFL), Interest Coverage Ratio (Interest expense to EBIT), Net Income Flag, Equity to Liability,Cluster,Bankrupt?,Index
0.48340077,0.556694287,0.536163606,0.602444544,0.602444544,0.999035412,0.797458077,0.809380276,0.303505674,0.781632571,7530000000.0,0.0,0.45236909,0.000268027,0.0,0.179217058,0.179217058,0.179217058,0.227474709,0.25963783,0.043090279,0.110251608,0.182044136,0.02215928,0.849000731,0.690847658,0.690847658,0.217952641,0.000108475,0.000482019,0.264386787,0.295965128,0.008397478,0.000698077,0.631990658,0.025663192,0.218943677,0.781056323,0.00658688,0.399979422,0.005365848,0.110207305,0.181087399,0.435777033,0.106446777,0.002416483,0.002616377,162000000.0,0.000782219,0.047258065,0.062647063,0.407543927,0.010340089,0.818119495,0.068259661,0.866373537,0.049627671,0.000557052,0.001372235,0.191852433,0.317865075,0.278599256,0.02059108,0.83914723,0.742511443,0.345391307,0.004295493,0.933711203,0.002403215,0.010379019,0.000403094,2660000000.0,0.59399578,6160000000.0,0.671583019,0.057977775,0.83914723,0.345391307,0.124182006,0.65409553,0.460586412,0.404612049,0.318515828,0.034617321,0,0.806477353,0.00217696,0.621609919,0.602444319,0.841891305,0.293390791,0.027063119,0.566189747,1,0.015405672,4,0,3
0.465070931,0.53368949,0.516944162,0.594740483,0.594740483,0.998962386,0.797392642,0.809312574,0.30354362,0.781571799,2460000000.0,25500000.0,0.46190584,0.000743074,0.51533556,0.179469892,0.179469892,0.179469892,0.214900255,0.319303954,0.013279489,0.095269115,0.170520449,0.022311448,0.848157279,0.689712983,0.689712983,0.217629684,5670000000.0,0.000446085,0.264142015,0.379028352,0.00833882,0.001752992,0.649043849,0.014823225,0.183420504,0.816579496,0.005642612,0.381240172,0.005556571,0.095290439,0.169542267,0.412982987,0.037481259,0.000462601,0.013697554,1090000000.0,0.000152813,0.02,0.056372369,0.392279686,0.046430298,0.804444652,0.259962932,0.70201655,0.039685347,0.002956679,0.001342597,0.156716409,0.341929029,0.278126155,0.014247344,0.815194833,0.737743394,0.336999105,0.001664987,0.931492791,0.002246091,0.00393624,0.000747781,0.000278754,0.59406023,0.000110772,0.671530956,0.128754501,0.815194833,0.336999105,0.113807976,0.6237671,0.456596849,0.572140223,0.309892797,0.034853514,0,0.796315229,0.054012581,0.6133229,0.594735853,0.840085104,0.285529212,0.029521363,0.568791144,1,0.019155337,4,0,6
0.514649247,0.579971653,0.56598319,0.614112339,0.613989824,0.999064414,0.797501516,0.809414258,0.303520659,0.781680291,0.000231504,0.000114605,0.465769189,0.000362036,0.060734892,0.188024103,0.188024103,0.188024103,0.235794649,0.326023909,0.041320689,0.11521863,0.187994276,0.02213262,0.848217628,0.705227196,0.705227196,0.219413706,7450000000.0,0.000495669,0.264664973,0.386470325,0.011078905,0.006290807,0.631124231,0.009038018,0.147201983,0.852798017,0.005527011,0.377365053,0.005365848,0.115174166,0.187037177,0.405976236,0.145427286,0.000854189,0.007403391,6190000000.0,0.000294278,0.041129032,0.013768488,0.396689356,0.006025666,0.82035895,0.354101551,0.557876858,0.078276039,0.006811903,0.004377505,0.094616433,0.348718675,0.277404057,0.011367831,0.606836033,0.737648066,0.331142502,0.010502529,0.939950269,0.002334023,0.039714757,0.000156852,0.000100659,0.593967886,6180000000.0,0.671591285,0.241758401,0.606836033,0.331142502,0.121909061,0.674031244,0.464658615,0.603028989,0.320329084,0.026391152,0,0.820147787,0.000535303,0.623769468,0.614109854,0.842268282,0.28133352,0.026958415,0.565846938,1,0.024783683,4,0,44
0.51884171,0.59218273,0.57412067,0.616901368,0.616901368,0.999235424,0.79770294,0.809598617,0.303514858,0.781881133,0.000107079,0.0,0.453321926,0.000228023,0.040489928,0.189498968,0.189498968,0.189498968,0.258012669,0.255287543,0.030914893,0.134761013,0.205844694,0.022137013,0.848085025,0.689511584,0.689511584,0.217606612,0.000123757,0.000551267,0.264303642,0.269783168,0.008136012,0.001675012,0.630970124,0.02184408,0.209269281,0.790730719,0.007505981,0.392145306,0.005365848,0.134756624,0.204924214,0.423865556,0.074962519,0.000488978,0.012940137,1280000000.0,0.001116591,0.034354839,0.056428183,0.443601456,0.00717018,0.8190487,0.438051646,0.953956166,0.066539845,0.003582367,0.001621872,0.21770339,0.316487264,0.278043732,0.012107831,0.998191208,0.741481689,0.345589992,0.0,0.940769801,0.002878291,0.007439351,0.000665157,0.000306518,0.594036314,0.000122197,0.671579621,0.030191941,0.998191208,0.345589992,0.110933234,0.648088269,0.459908098,0.402299072,0.31619147,0.035700666,0,0.824202282,0.006852835,0.622621548,0.616897366,0.84446301,0.290621076,0.026799246,0.565196676,1,0.016304718,4,0,53
0.476965827,0.545082861,0.527651373,0.610018882,0.610018882,0.999096421,0.797528769,0.80942233,0.303501565,0.781689694,0.000135757,0.0,0.467834227,0.000682068,0.177548335,0.191184527,0.191184527,0.191184527,0.224543821,0.342187168,0.018195018,0.106668838,0.179483317,0.022088103,0.848028064,0.689309492,0.689309492,0.217583347,4370000000.0,0.000452123,0.26389258,0.413732722,0.009804026,0.000563952,0.632976603,0.011064299,0.16222753,0.83777247,0.007010405,0.3770877,0.00543714,0.106494374,0.178538572,0.41707852,0.044977511,0.001339109,0.004722117,573000000.0,0.000472811,0.021451613,0.138413407,0.454569096,0.038705202,0.840911536,0.07257744,0.856091481,0.044734454,0.000732093,0.001453966,0.163143597,0.359234342,0.278168088,0.023768267,0.959252845,0.740157037,0.335680977,0.000636445,0.940477781,0.002411997,0.009208442,0.000680914,5490000000.0,0.594097501,9360000000.0,0.671592947,0.058326332,0.959252845,0.335680977,0.112062039,0.655699145,0.461285687,0.661930512,0.317194463,0.029758605,0,0.805763613,0.019860422,0.622108934,0.610016413,0.841044219,0.282802935,0.026797563,0.565188758,1,0.022150845,4,0,56
0.500755618,0.560346707,0.545371808,0.605738048,0.605738048,0.999067303,0.797464302,0.809365173,0.303449841,0.781627518,9620000000.0,0.0,0.468308967,0.000259026,0.26773965,0.17584594,0.17584594,0.17584594,0.229649239,0.341196859,0.054206936,0.122139891,0.185885366,0.022113309,0.848111035,0.689431024,0.689431024,0.217597128,5280000000.0,0.000443315,0.264020017,0.410631124,0.007413393,0.00604439,0.631126286,0.014181235,0.180276325,0.819723675,0.005524703,0.377070924,0.007912889,0.121321673,0.184940804,0.411550823,0.16191904,0.000539702,0.011719901,0.000130503,0.000569643,0.056935484,0.053073454,0.410800299,0.012142913,0.785842042,0.556959184,0.667927789,0.133117702,0.006016,0.004224354,0.167104288,0.359090627,0.277495833,0.003963729,0.885214734,0.735631927,0.337407117,0.003011192,0.93690426,0.002336484,0.026798352,0.000146595,0.000125906,0.593935765,8270000000.0,0.671569218,0.160597512,0.885214734,0.337407117,0.115750362,0.636521517,0.458363854,0.671646384,0.313045169,0.039069733,0,0.812662786,0.000500185,0.623731142,0.605733543,0.842012025,0.28506349,0.026922642,0.56571597,1,0.019555634,4,0,57
0.517379223,0.573975142,0.558220461,0.602624714,0.602624714,0.999021662,0.797436081,0.809344993,0.303496006,0.781605624,9200000000.0,136000000.0,0.464145341,0.000440044,0.27887438,0.177531499,0.177531499,0.177531499,0.236078283,0.3328146,0.117503819,0.128654018,0.197860963,0.022183364,0.84850928,0.69004056,0.69004056,0.217666883,7680000000.0,0.00059359,0.264424086,0.397898737,0.009055198,0.005991364,0.631116697,0.016345216,0.190222813,0.809777187,0.00937038,0.376137093,0.005365848,0.128617259,0.192753186,0.421675109,0.35982009,0.001073316,0.005895388,0.000130503,0.007921288,0.133225806,0.046572566,0.40140431,0.00075919,0.838874701,0.661081072,0.961748388,0.223686637,0.006020847,0.005997439,0.197869514,0.348908155,0.27748455,0.008186587,0.996213395,0.742066344,0.340700601,0.0,0.938344832,0.002318819,0.040487724,0.000105675,7390000000.0,0.593942155,7240000000.0,0.671586057,0.021986626,0.996213395,0.340700601,0.110933234,0.697955674,0.466694529,0.615116255,0.328835029,0.032164398,0,0.817014622,0.000342143,0.623734773,0.602625747,0.842754812,0.286632886,0.026917926,0.565698114,1,0.018331276,4,0,74
0.482425779,0.548517226,0.530917073,0.610667493,0.610667493,0.999155003,0.797516042,0.809403451,0.303356545,0.781669905,8750000000.0,0.0,0.455915385,0.000362036,0.248102035,0.197252539,0.197252539,0.197252539,0.229932873,0.223951333,0.033047476,0.125152675,0.187467048,0.022248631,0.848404593,0.689222671,0.689222671,0.217585341,0.000103301,0.000455218,0.263650139,0.236559741,0.007093894,0.000371185,0.633068383,0.040125298,0.24207153,0.75792847,0.175089038,0.410427147,0.005394487,0.125116029,0.185144408,0.457627913,0.04197901,0.014618608,0.000432932,497000000.0,0.064043586,0.03,0.210992465,0.528595011,0.000461123,0.791961131,0.078291136,0.961314353,0.005847572,0.000462222,0.00012399,0.250330065,0.32431504,0.279905117,0.017472288,0.994618323,0.741106545,0.361623765,1150000000.0,0.935902026,0.00236591,0.007058485,0.001125843,9150000000.0,0.594037185,1790000000.0,0.671554878,0.000311988,0.994618323,0.361623765,0.110988987,0.635556274,0.458489401,0.438036113,0.310878528,0.04077025,0,0.801566055,0.005321662,0.61783831,0.61066235,0.841437549,0.303878757,0.027383548,0.5669684,1,0.013547116,4,0,81
0.520109199,0.569068905,0.567053911,0.601298664,0.60126263,0.99902559,0.797443136,0.809350852,0.303499631,0.78161222,6610000000.0,475000000.0,0.458037459,0.000515052,0.260856362,0.181745396,0.181745396,0.181745396,0.225867448,0.310108227,0.053828819,0.111473007,0.184680274,0.022149861,0.848122635,0.690068606,0.690068606,0.217669093,0.000117255,0.000549396,0.264423309,0.366295965,0.012172817,0.007290199,0.631459158,0.008133395,0.139341536,0.860658464,0.005489414,0.374965051,0.005524276,0.111493804,0.181192972,0.405802072,0.260869565,0.001499396,0.004215749,0.000138146,0.000484159,0.059193548,0.038552943,0.400284932,0.011135217,0.844577516,0.515221167,0.680458065,0.0550967,0.008919737,0.002775146,0.105104656,0.333433686,0.277247294,0.008750573,0.713316245,0.739253687,0.331418411,0.006091557,0.937419516,0.002358974,0.020022143,0.000122288,951000000.0,0.593961694,2860000000.0,0.671579424,0.243025446,0.713316245,0.331418411,0.118297607,0.660710212,0.462520432,0.531959727,0.317697952,0.024050768,0,0.811072694,0.003068127,0.624205152,0.601296202,0.841363951,0.280677614,0.026992831,0.565965912,1,0.026375451,4,0,91
0.500219373,0.559692543,0.551742599,0.604030038,0.603972384,0.999052975,0.797480903,0.809387828,0.303508574,0.781654326,8220000000.0,2650000000.0,0.464588209,0.000268027,0.149002936,0.182925288,0.182925288,0.182925288,0.226434717,0.323760345,0.030037661,0.108134517,0.180839045,0.022041326,0.847978373,0.689275301,0.689275301,0.217579248,7070000000.0,0.000457988,0.263636929,0.380183302,0.009875788,0.007572175,0.631035534,0.008449831,0.14218339,0.85781661,0.005554848,0.375614819,0.005519401,0.10811471,0.179873313,0.403729521,0.116941529,0.000657381,0.009615015,902000000.0,0.000278391,0.032903226,0.021626544,0.398588906,0.01025851,0.810836305,0.452628183,0.562639855,0.056415204,0.00770861,0.002797836,0.106754573,0.347525697,0.277268053,0.00594845,0.710385311,0.736707327,0.331597761,0.006259649,0.936835265,0.002420035,0.013399265,0.000197001,0.000162082,0.593970902,5450000000.0,0.671551724,0.214248598,0.710385311,0.331597761,0.117318129,0.615376835,0.454341955,0.59626005,0.309625175,0.029546899,0,0.810861196,0.002530073,0.624159951,0.60402795,0.841369214,0.280907208,0.026909353,0.565665287,1,0.025780114,4,0,94
